,ds,yhat,yhat_lower,yhat_upper
0,2024-06-30,85776.40312393874,85776.4030733408,85776.40317690615
1,2024-09-30,94929.01141275906,94929.01136023435,94929.01146613176
2,2024-12-31,124299.61899186092,124299.61893458318,124299.61904709021
3,2025-03-31,95359.46819404095,95359.46814028198,95359.46824638391
4,2025-06-30,94035.42345381151,94035.42340076485,94035.4235094308
5,2025-09-30,100784.8654226696,100784.86516025846,100784.86570735511
6,2025-12-31,145667.9563198731,145667.9554645223,145667.95723488973
7,2026-03-31,89001.96734198154,89001.96560331443,89001.96910176822
8,2026-06-30,101900.9673501158,101900.96457606021,101900.97007823197
9,2026-09-30,106303.31155732197,106303.30762777617,106303.31546986596
10,2026-12-31,167002.35815068329,167002.35291825866,167002.36350495974
11,2027-03-31,82514.33231744978,82514.32575156461,82514.33898265845
12,2027-06-30,109368.64415473316,109368.63610897066,109368.65238731432
